term1	term2
生物	非生物
發育	生長
代謝	化學反應
同化代謝	異化代謝
有性生殖	無性生殖
解剖顯微鏡	複式顯微鏡
抗體	抗原
原核細胞	真核細胞
真細菌域	古細菌域
染色體	染色質
質體	載體
莢膜	細胞壁
核仁	核質
DNA	RNA
內質網	高基氏體
粗糙內質網	平滑內質網
細胞自噬	計畫性凋亡
草履蟲伸縮泡	液泡
吞噬體	食泡
粒線體	葉綠體
呼吸作用	光合作用
葉綠餅	類囊體
中心體	中心粒
半透性	全透性
植物固醇	膽固醇
異營生物	自營生物
光合自營	化學自營
嘌呤	嘧啶
光反應	碳反應
呼吸作用	發酵作用
光合作用的電子傳遞鏈	呼吸作用的電子傳遞鏈
酒精發酵	乳酸發酵
NADH	NADPH
NADH在細胞的功能	ATP在細胞的功能
中節	著絲點
同源染色體	複製染色分體
性狀	特徵
體染色體	性染色體
細胞週期的間期	細胞週期的分裂期
有絲分裂前期	有絲分裂中期
有絲分裂後期	有絲分裂末期
有絲分裂前期	第一次減數分裂前期
有絲分裂中期	第一次減數分裂中期
第一次減數分裂前期	第二次減數分裂前期
有絲分裂	減數分裂
精原細胞	初級精母細胞
初級精母細胞	次級精母細胞
卵原細胞	初級卵母細胞
初級卵母細胞	次級卵母細胞
赤道板	細胞板
分裂溝	細胞板
二分體	四分體
細胞分化	細胞特化
全能幹細胞	多能幹細胞
多能幹細胞	單能幹細胞
目鏡測微器	載物臺測微器
永久玻片	半永久玻片
自花授粉	異花授粉
同型合子	異型合子
遺傳學實驗單性雜交	遺傳學實驗雙性雜交
單基因遺傳	多基因遺傳
等顯性遺傳	中間型遺傳
性聯遺傳	體染色體遺傳
去氧核醣	核醣
DNA半保留複製	DNA全保留複製
DNA半保留複製	轉錄
轉錄	轉譯
NTP	dNTP
蛋白質修飾	蛋白質折疊
DNA模板股	DNA編碼股
密碼子	反密碼子
基因轉殖技術	基因編輯技術
神創論	達爾文天擇說論
自然神學論	達爾文天擇說論
用進廢退說	達爾文天擇說論
拉馬克	達爾文天擇說論
伊拉斯莫斯·達爾文	查爾斯·達爾文
人擇	天擇
同源器官	痕跡器官
同源器官	同功器官
同功器官	痕跡器官
生物分類學二界說	生物分類學三界說
生物分類學三界說	生物分類學五界說
生物分類學五界說	生物分類學六界說
生物分類學六界說	生物分類學三域說
病毒感染	病毒潛溶
