epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.05414,2.02951,3.80296,1.79885,0.57521,0.19753,0.1189,0.06594,1.64488,3.79117,1.47453,0.00017236,0.00017236,0.00017236
2,17.2771,1.28664,1.97092,1.32492,0.55405,0.39152,0.2683,0.14035,1.63815,3.43875,1.59563,0.000349933,0.000349933,0.000349933
3,25.217,1.16192,1.58473,1.27031,0.59026,0.39036,0.37657,0.20458,1.47103,1.81694,1.4037,0.000527154,0.000527154,0.000527154
4,33.0134,1.13096,1.43476,1.25512,0.54784,0.48272,0.44549,0.26775,1.46004,1.34544,1.47336,0.000554349,0.000554349,0.000554349
5,40.7344,1.0805,1.30866,1.21461,0.60519,0.471,0.49617,0.32054,1.25727,1.27129,1.2736,0.000553798,0.000553798,0.000553798
6,48.4758,1.05417,1.22736,1.20272,0.71787,0.51978,0.52847,0.33263,1.22837,1.22753,1.24355,0.000553248,0.000553248,0.000553248
7,56.1772,0.98345,1.13135,1.17349,0.64172,0.55639,0.5886,0.3845,1.15625,1.15441,1.2244,0.000552697,0.000552697,0.000552697
8,63.9509,0.95209,1.0707,1.15217,0.64615,0.5689,0.59499,0.39571,1.09199,1.04766,1.16095,0.000552147,0.000552147,0.000552147
9,71.6869,0.92853,1.01674,1.13455,0.67968,0.57779,0.61889,0.43244,1.06228,0.98446,1.13647,0.000551596,0.000551596,0.000551596
10,79.3752,0.91714,1.00863,1.12857,0.7532,0.54258,0.61612,0.40548,1.05818,0.99758,1.15041,0.000551046,0.000551046,0.000551046
11,87.0708,0.91023,0.96579,1.1171,0.7249,0.62775,0.64745,0.45529,0.98836,0.86061,1.11619,0.000550496,0.000550496,0.000550496
12,94.8683,0.89458,0.96774,1.11626,0.82509,0.51938,0.61641,0.41929,1.05072,0.9992,1.14557,0.000549945,0.000549945,0.000549945
13,102.689,0.88255,0.95153,1.10279,0.81351,0.5658,0.63058,0.42325,1.02208,0.92365,1.13179,0.000549395,0.000549395,0.000549395
14,110.479,0.85343,0.88679,1.08974,0.71979,0.60269,0.66479,0.4702,0.98494,0.92107,1.11245,0.000548844,0.000548844,0.000548844
15,118.299,0.83941,0.89744,1.08367,0.6971,0.64771,0.6669,0.462,0.92639,0.84094,1.06098,0.000548294,0.000548294,0.000548294
16,126.145,0.83352,0.86495,1.07867,0.59536,0.66943,0.67331,0.47029,0.97149,0.8154,1.07135,0.000547743,0.000547743,0.000547743
17,134.058,0.84015,0.87445,1.0731,0.68496,0.62849,0.6496,0.45285,0.9528,0.84055,1.07204,0.000547193,0.000547193,0.000547193
18,141.832,0.8338,0.89055,1.08012,0.74039,0.62343,0.67454,0.47502,0.95333,0.84275,1.08244,0.000546643,0.000546643,0.000546643
