epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.71212,2.45335,4.26743,2.05692,0,0,0,0,1.64948,3.80589,1.54421,7.228e-05,7.228e-05,7.228e-05
2,7.54481,1.5328,3.58352,1.44038,0.01248,0.38266,0.09346,0.04659,1.3755,3.44983,1.39875,0.000149823,0.000149823,0.000149823
3,11.397,1.43804,2.65683,1.39107,0.97872,0.06481,0.14579,0.08066,1.37524,2.89852,1.33733,0.000227057,0.000227057,0.000227057
4,15.0619,1.35817,2.12567,1.37193,0.88718,0.09109,0.23179,0.13911,1.38092,2.4775,1.31244,0.000303984,0.000303984,0.000303984
5,18.6717,1.24809,1.88508,1.30702,0.85273,0.12491,0.2614,0.149,1.38908,2.48506,1.34603,0.000380602,0.000380602,0.000380602
6,22.2227,1.21727,1.71878,1.29166,0.89904,0.13404,0.32615,0.19135,1.34145,2.31257,1.35357,0.000456911,0.000456911,0.000456911
7,25.8698,1.19101,1.67791,1.29268,0.76197,0.34952,0.38463,0.24563,1.326,1.78227,1.33042,0.000532913,0.000532913,0.000532913
8,29.4854,1.15044,1.56574,1.26754,0.68929,0.36815,0.3846,0.24771,1.37828,1.75511,1.33476,0.000548294,0.000548294,0.000548294
9,33.1214,1.10507,1.47406,1.23802,0.76776,0.36266,0.43291,0.27345,1.26795,1.63286,1.23905,0.000547193,0.000547193,0.000547193
10,36.7533,1.03974,1.34127,1.1967,0.68014,0.45983,0.5229,0.30924,1.27129,1.59021,1.25454,0.000546092,0.000546092,0.000546092
11,40.3986,1.04748,1.26288,1.19472,0.71619,0.3906,0.47312,0.26229,1.39616,1.8226,1.53565,0.000544991,0.000544991,0.000544991
12,44.0062,1.04028,1.29166,1.19,0.52559,0.57287,0.55289,0.3254,1.26353,1.4596,1.24055,0.00054389,0.00054389,0.00054389
13,47.615,0.99333,1.16946,1.15985,0.78074,0.46241,0.59489,0.34722,1.28104,1.40641,1.27885,0.000542789,0.000542789,0.000542789
14,51.2309,1.0045,1.21846,1.1716,0.66513,0.52775,0.60256,0.39214,1.23911,1.38862,1.21155,0.000541689,0.000541689,0.000541689
15,54.8419,0.97261,1.14742,1.15018,0.76213,0.46835,0.55656,0.35598,1.20371,1.42121,1.2201,0.000540588,0.000540588,0.000540588
16,58.4519,0.95326,1.10559,1.14029,0.64174,0.60046,0.6609,0.42761,1.15949,1.26093,1.21054,0.000539487,0.000539487,0.000539487
17,62.0494,0.91982,1.10904,1.12846,0.73201,0.66314,0.71646,0.43976,1.1822,1.17955,1.18504,0.000538386,0.000538386,0.000538386
18,65.6677,0.91461,1.05759,1.12364,0.6919,0.61705,0.68118,0.43672,1.14365,1.248,1.17372,0.000537285,0.000537285,0.000537285
19,69.2451,0.90402,1.0099,1.10405,0.76625,0.58843,0.68308,0.43536,1.13988,1.21999,1.17094,0.000536184,0.000536184,0.000536184
20,72.8525,0.90655,1.03616,1.106,0.77443,0.67556,0.74611,0.4809,1.14023,1.1521,1.19441,0.000535083,0.000535083,0.000535083
21,76.4617,0.89345,1.01136,1.10018,0.7426,0.60023,0.68366,0.43022,1.18159,1.18876,1.16076,0.000533982,0.000533982,0.000533982
22,80.0224,0.88579,0.97271,1.08888,0.76843,0.56874,0.67688,0.43015,1.11521,1.1337,1.17829,0.000532882,0.000532882,0.000532882
23,83.6035,0.90236,1.02152,1.09467,0.84944,0.55236,0.68358,0.44432,1.15276,1.25832,1.18383,0.000531781,0.000531781,0.000531781
24,87.1899,0.85504,0.94298,1.07622,0.77537,0.69757,0.80942,0.54066,1.0419,1.01423,1.11667,0.00053068,0.00053068,0.00053068
25,90.7716,0.86338,0.97102,1.06685,0.89971,0.66293,0.80148,0.52397,1.10746,1.03844,1.15931,0.000529579,0.000529579,0.000529579
26,94.3853,0.87444,0.94196,1.07881,0.78827,0.615,0.71018,0.45996,1.15077,1.12392,1.17788,0.000528478,0.000528478,0.000528478
27,97.9681,0.85162,0.90863,1.06723,0.81253,0.68409,0.79719,0.53977,1.05358,1.02405,1.13515,0.000527377,0.000527377,0.000527377
28,101.51,0.81083,0.86827,1.05186,0.80558,0.69004,0.79687,0.53295,1.06337,1.03432,1.14205,0.000526276,0.000526276,0.000526276
29,105.052,0.80838,0.84469,1.04457,0.80058,0.58713,0.6863,0.46838,1.04109,1.21727,1.12886,0.000525175,0.000525175,0.000525175
30,108.656,0.81893,0.89265,1.05004,0.81472,0.66125,0.75686,0.50492,1.02863,1.01665,1.12342,0.000524074,0.000524074,0.000524074
31,112.221,0.83386,0.85165,1.04323,0.72774,0.65325,0.74677,0.49156,1.01959,1.07448,1.10337,0.000522974,0.000522974,0.000522974
32,115.781,0.82103,0.82953,1.04027,0.77003,0.71016,0.80308,0.54621,1.01887,0.95353,1.10772,0.000521873,0.000521873,0.000521873
33,119.413,0.79772,0.81502,1.03584,0.90739,0.66423,0.79139,0.54559,1.02244,0.92583,1.13933,0.000520772,0.000520772,0.000520772
34,122.979,0.78294,0.78688,1.0234,0.74162,0.65118,0.7498,0.50454,1.08751,1.06596,1.17373,0.000519671,0.000519671,0.000519671
35,126.554,0.7883,0.81939,1.03843,0.77343,0.74272,0.78924,0.54046,1.01729,0.9872,1.10724,0.00051857,0.00051857,0.00051857
36,130.091,0.77756,0.77792,1.03028,0.8683,0.66897,0.80983,0.55597,0.98542,0.95163,1.09301,0.000517469,0.000517469,0.000517469
37,133.715,0.78264,0.76968,1.029,0.87364,0.70267,0.79442,0.56908,0.98835,0.96794,1.12554,0.000516368,0.000516368,0.000516368
38,137.29,0.82235,0.80302,1.03125,0.76962,0.69586,0.79157,0.55671,1.01985,0.93435,1.08659,0.000515267,0.000515267,0.000515267
39,140.852,0.78581,0.74743,1.01536,0.87028,0.66394,0.81319,0.56767,0.99401,0.95369,1.07005,0.000514167,0.000514167,0.000514167
40,144.491,0.76487,0.75741,1.01379,0.83785,0.70002,0.80207,0.57152,0.99367,0.98055,1.10161,0.000513066,0.000513066,0.000513066
41,148.103,0.77481,0.76303,1.01019,0.82466,0.74234,0.8215,0.56793,1.02016,0.99843,1.08873,0.000511965,0.000511965,0.000511965
42,151.715,0.78996,0.78474,1.0324,0.81493,0.75838,0.84361,0.58533,0.99222,0.90421,1.09572,0.000510864,0.000510864,0.000510864
43,155.335,0.76953,0.77142,1.0158,0.83357,0.71596,0.78419,0.55099,0.99091,0.98253,1.08008,0.000509763,0.000509763,0.000509763
44,158.964,0.74857,0.74487,1.00151,0.8278,0.65963,0.78514,0.54374,0.98254,0.9647,1.07364,0.000508662,0.000508662,0.000508662
45,162.582,0.74722,0.72977,0.99956,0.89724,0.6661,0.81254,0.55658,0.97559,0.92614,1.06009,0.000507561,0.000507561,0.000507561
46,166.187,0.75779,0.73463,1.00095,0.93388,0.74422,0.84426,0.60696,0.93679,0.83197,1.04875,0.00050646,0.00050646,0.00050646
